Unnamed: 0,County,List Price,Style,Beds,Bathrooms Full,Bathrooms Half,Levels/Stories,Fireplaces Total,Basement YN,Lot Size SqFt,Year Built,Close Date,Close Price,Concessions Amt ,Subdivision/Neighborhood,Status
104,Montgomery County,"$425,000 ",Ranch/Rambler,4,2,,2,,Yes,7579,1953,9/21/2021,,,,
105,Anne Arundel County,"$425,000 ",Split Foyer,4,2,,2,,Yes,10116,1994,9/21/2021,,,,
106,Montgomery County,"$425,000 ",Ranch/Rambler,5,2,1,2,,Yes,8597,1953,9/21/2021,,,,
107,Howard County,"$425,000 ","Colonial, Contemporary",3,2,,3,,Yes,3789,1983,9/21/2021,,,,
108,Howard County,"$425,000 ",Colonial,4,3,1,3,,Yes,3912,2009,9/21/2021,,,,
109,Howard County,"$425,000 ",Colonial,4,3,1,3,1,Yes,4028,1991,9/21/2021,,,,
110,Montgomery County,"$425,000 ",Contemporary,4,2,1,2,1,No,9480,1973,9/21/2021,,,,
111,Anne Arundel County,"$425,000 ",Ranch/Rambler,3,2,,1,1,No,54014,1950,9/21/2021,,,,
112,Prince George's County,"$425,000 ",Split Level,4,3,,4,1,Yes,10454.4,1966,7/30/2021,,,,
113,Carroll County,"$425,000 ",Ranch/Rambler,4,3,,2,1,Yes,20000,1972,7/20/2021,,,,
114,Anne Arundel County,"$427,000 ",Split Level,3,3,,2,1,Yes,15000,1982,9/21/2021,,,,
115,Montgomery County,"$428,000 ",Split Level,3,3,,2,,Yes,7896,1982,7/5/2021,,,,
116,Anne Arundel County,"$429,000 ",Colonial,3,2,1,3,1,Yes,7500,2004,9/21/2021,,,,
117,Howard County,"$429,950 ",Colonial,4,2,1,3,1,Yes,6098,1983,7/23/2021,,,,
118,Howard County,"$430,000 ",Colonial,4,2,1,3,,Yes,4080,1994,9/21/2021,,,,
119,Montgomery County,"$430,000 ",Traditional,3,2,1,3,1,Yes,7500,1900,9/21/2021,,,,
120,Montgomery County,"$430,000 ",Traditional,5,4,1,2,,No,8910,1970,9/21/2021,,,,
121,Calvert County,"$430,000 ",Ranch/Rambler,3,2,,2,,Yes,50530,1949,7/30/2021,,,,
122,Montgomery County,"$435,000 ",Split Level,4,1,1,3,,Yes,7860,1955,9/21/2021,,,,
123,Montgomery County,"$435,000 ",Ranch/Rambler,3,1,,1,,No,6383,1951,9/21/2021,,,,
124,Prince George's County,"$435,000 ",Split Foyer,5,2,1,2,1,Yes,10625,1965,7/23/2021,,,,
125,Anne Arundel County,"$435,000 ",Ranch/Rambler,3,2,1,2,,Yes,18000,1973,7/6/2021,,,,
126,Prince George's County,"$439,000 ",Split Level,5,3,0,4,,Yes,11281,1980,9/21/2021,,,,
127,Montgomery County,"$439,900 ",Bungalow,2,1,,1,,No,5754,1952,9/21/2021,,,,
128,Carroll County,"$439,900 ",Split Foyer,5,2,,2.5,,Yes,11543,1985,9/21/2021,,,,
129,Montgomery County,"$439,900 ",Colonial,3,1,1,2,,Yes,8740,1948,9/21/2021,,,,
130,Montgomery County,"$439,900 ",Ranch/Rambler,2,1,,1,1,No,6325,1949,9/21/2021,,,,
131,Howard County,"$439,900 ",Split Foyer,4,3,,2,1,No,15463,1992,9/21/2021,,,,
132,Howard County,"$439,900 ",Split Level,4,2,1,3,1,No,8407,1981,9/21/2021,,,,
133,Howard County,"$439,900 ",Cottage,3,2,1,2,,Yes,24489,1935,7/15/2021,,,,
134,Prince George's County,"$439,999 ",Split Foyer,5,2,1,2,,Yes,11000,1987,9/21/2021,,,,
135,Frederick County,"$439,999 ",Colonial,4,2,1,3,1,Yes,22878,1989,7/22/2021,,,,
136,Anne Arundel County,"$440,000 ",Ranch/Rambler,5,2,,2,1,Yes,6825,1964,7/15/2021,,,,
137,Anne Arundel County,"$440,000 ",Split Foyer,4,3,,3,,Yes,9285,1993,7/6/2021,,,,
138,Montgomery County,"$445,000 ",Contemporary,2,2,2,3,1,Yes,4389,1983,9/21/2021,,,,
139,Anne Arundel County,"$445,000 ",Colonial,3,1,1,2,,No,5478,1987,9/21/2021,,,,
140,Montgomery County,"$445,200 ",Split Level,3,1,,1.5,,Yes,7916,1957,9/21/2021,,,,
141,Montgomery County,"$449,000 ",Ranch/Rambler,3,1,,2,,Yes,7952,1955,9/21/2021,,,,
142,Allegany County,"$449,000 ",Colonial,4,2,1,3,,Yes,9147.6,2015,7/6/2021,,,,
143,Montgomery County,"$449,500 ",Ranch/Rambler,2,1,1,2,1,Yes,8505,1949,7/16/2021,,,,
144,Montgomery County,"$449,900 ",Ranch/Rambler,4,2,1,2,,Yes,13607,2009,9/21/2021,,,,
